MsgID.GLOBAL_HOME,1530000759.6167593,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1530000759.6167593,-122.4019360,37.7967195,0.1040000
MsgID.LOCAL_VELOCITY,1530000759.6167593,-0.0300000,0.0200000,0.1600000
MsgID.LOCAL_POSITION,1530000759.6177640,471.0041809,-398.4668579,-0.1046071
MsgID.LOCAL_VELOCITY,1530000759.6177640,-0.0321259,0.0230412,0.1638840
MsgID.GLOBAL_POSITION,1530000759.6177640,-122.4019360,37.7967204,0.1040000
MsgID.LOCAL_VELOCITY,1530000759.6177640,-0.0200000,0.0200000,0.1400000
MsgID.LOCAL_POSITION,1530000759.6177640,471.1053467,-398.4669495,-0.1042694
MsgID.LOCAL_VELOCITY,1530000759.6177640,-0.0293784,0.0240752,0.1490780
MsgID.GLOBAL_POSITION,1530000759.6187534,-122.4019360,37.7967202,0.1150000
MsgID.LOCAL_VELOCITY,1530000759.6187534,-0.0300000,0.0200000,0.1600000
MsgID.LOCAL_POSITION,1530000759.6187534,471.0811768,-398.4674072,-0.1153643
MsgID.LOCAL_VELOCITY,1530000759.6187534,-0.0316181,0.0259684,0.1683563
MsgID.GLOBAL_POSITION,1530000759.6187534,-122.4019354,37.7967190,0.1480000
MsgID.LOCAL_VELOCITY,1530000759.6187534,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1530000759.6187534,470.9481201,-398.4163818,-0.1489010
MsgID.LOCAL_VELOCITY,1530000759.6187534,0.0000019,0.0000234,0.0000105
MsgID.STATE,1530000759.6187534,True,True
MsgID.GLOBAL_HOME,1530000759.6197512,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1530000759.6197512,-122.4019348,37.7967193,0.1840000
MsgID.LOCAL_VELOCITY,1530000759.6197512,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1530000759.6197512,470.9821472,-398.3570251,-0.1849272
MsgID.LOCAL_VELOCITY,1530000759.6197512,0.0000047,0.0000227,0.0000085
MsgID.GLOBAL_POSITION,1530000759.6197512,-122.4019369,37.7967193,0.2060000
MsgID.LOCAL_VELOCITY,1530000759.6197512,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1530000759.6197512,470.9846497,-398.5477600,-0.2069806
MsgID.LOCAL_VELOCITY,1530000759.6197512,0.0000082,0.0000331,0.0000052
MsgID.GLOBAL_POSITION,1530000759.6197512,-122.4019380,37.7967191,0.2100000
MsgID.LOCAL_VELOCITY,1530000759.6197512,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1530000759.6197512,470.9592896,-398.6452637,-0.2108309
MsgID.LOCAL_VELOCITY,1530000759.6197512,0.0000077,0.0000363,0.0000083
MsgID.GLOBAL_POSITION,1530000759.6207480,-122.4019365,37.7967194,0.1960000
MsgID.LOCAL_VELOCITY,1530000759.6207480,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1530000759.6207480,470.9967957,-398.5127869,-0.1961265
MsgID.LOCAL_VELOCITY,1530000759.6207480,0.0000085,0.0000386,0.0000034
MsgID.STATE,1530000759.6207480,True,True
MsgID.GLOBAL_HOME,1530000759.6207480,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1530000759.6207480,-122.4019360,37.7967208,0.1660000
MsgID.LOCAL_VELOCITY,1530000759.6207480,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1530000759.6207480,471.1574402,-398.4667053,-0.1669625
